ssc_name, ssc2011
Kurunjang,20743
Kyabram,20744
Kyneton,20745
Kyvalley,20746
Laang,20747
Labertouche,20748
Laceby,20749
Laharum,20750
Lake Boga,20751
Lake Bolac,20752
Lake Bunga,20753
Lake Charm,20754
Lake Gardens,20755
Lake Tyers Beach,20756
Lake Wellington,20757
Lake Wendouree,20758
Lakes Entrance,20759
Lal Lal,20760
Lalbert,20761
Lalor,20762
Lancaster,20763
Lance Creek,20764
Lancefield,20765
Landsborough (Vic.),20766
Lang Lang,20767
Langkoop,20768
Langwarrin,20769
Langwarrin South,20770
Lara,20771
Larpent,20772
Larralea,20773
Launching Place,20774
Lauriston,20775
Laverton (Vic.),20776
Laverton North,20777
Learmonth (Vic.),20778
Leichardt,20779
Leitchville,20780
Lemnos,20781
Leneva,20782
Leongatha,20783
Leongatha North,20784
Leongatha South,20785
Leopold,20786
Lethbridge,20787
Lexton,20788
Licola,20789
Lilydale (Vic.),20790
Lindenow,20791
Lindenow South,20792
Linton,20793
Lismore (Vic.),20794
Little Desert,20795
Little River (Vic.),20796
Loch,20797
Loch Sport,20798
Lockington,20799
Lockwood,20800
Lockwood South,20801
Long Forest,20802
Long Gully,20803
Longford (Vic.),20804
Longlea,20805
Longwarry,20806
Longwood (Vic.),20807
Lorne (Vic.),20808
Lovely Banks,20809
Lower Plenty,20810
Lucknow (Vic.),20811
Lurg,20812
Lyal,20813
Lynbrook,20814
Lyndhurst (Vic.),20815
Lyonville,20816
Lysterfield,20817
Lysterfield South,20818
Macarthur (Vic.),20819
Macclesfield (Vic.),20820
Macedon,20821
Macleod (Vic.),20822
Maddingley,20823
Maffra (Vic.),20824
Magpie,20825
Maiden Gully,20826
Maidstone,20827
Mailors Flat,20828
Main Ridge,20829
Majorca,20830
Maldon (Vic.),20831
Mallacoota,20832
Malmsbury,20833
Malvern (Vic.),20834
Malvern East,20835
Manangatang,20836
Mandurang,20837
Mandurang South,20838
Mangalore (Vic.),20839
Manifold Heights,20840
Mannerim,20841
Mannibadar,20842
Manns Beach,20843
Mansfield (Vic.),20844
Marcus Hill,20845
Marengo (Vic.),20846
Maribyrnong,20847
Markwood,20848
Marlo,20849
Marnoo,20850
Marong,20851
Marshall,20852
Maryborough (Vic.),20853
Maryknoll,20854
